x,y,z,n1,n2,n3
3,2.375,4,0.18,-0.74,0.65
4,1.75,3,0.18,-0.74,0.65
3,2.375,4,0.11,0.89,-0.44
4,1.75,3,0.11,0.89,-0.44
4,2.25,4,0.11,0.89,-0.44
3,2.375,4,-0.12,-0.93,0.35
3,2.75,5,-0.12,-0.93,0.35
4,2.25,4,-0.12,-0.93,0.35
3,2.75,5,-0.11,0.84,-0.53
4,2.25,4,-0.11,0.84,-0.53
4,2.875,5,-0.11,0.84,-0.53
3,2.75,5,0.12,-0.98,-0.12
3,2.625,6,0.12,-0.98,-0.12
4,2.875,5,0.12,-0.98,-0.12
3,2.625,6,-0.35,0.93,-0.12
4,2.875,5,-0.35,0.93,-0.12
4,3.0,6,-0.35,0.93,-0.12
3,2.625,6,0.34,-0.91,0.23
3,2.875,7,0.34,-0.91,0.23
4,3.0,6,0.34,-0.91,0.23
3,2.875,7,-0.57,0.66,-0.49
4,3.0,6,-0.57,0.66,-0.49
4,3.75,7,-0.57,0.66,-0.49
3,2.875,7,0.53,-0.6,-0.6
3,1.875,8,0.53,-0.6,-0.6
4,3.75,7,0.53,-0.6,-0.6
3,1.875,8,-0.36,0.58,0.73
4,3.75,7,-0.36,0.58,0.73
4,2.5,8,-0.36,0.58,0.73
3,1.875,8,0.49,-0.78,0.39
3,2.375,9,0.49,-0.78,0.39
4,2.5,8,0.49,-0.78,0.39
3,2.375,9,-0.34,0.91,-0.23
4,2.5,8,-0.34,0.91,-0.23
4,2.75,9,-0.34,0.91,-0.23
3,2.375,9,0.33,-0.88,-0.33
3,2.0,10,0.33,-0.88,-0.33
4,2.75,9,0.33,-0.88,-0.33
3,2.0,10,0.42,0.48,0.77
4,2.75,9,0.42,0.48,0.77
4,1.125,10,0.42,0.48,0.77
3,2.0,10,-0.55,-0.63,0.55
3,2.875,11,-0.55,-0.63,0.55
4,1.125,10,-0.55,-0.63,0.55
3,2.875,11,0.62,0.62,-0.47
4,1.125,10,0.62,0.62,-0.47
4,1.875,11,0.62,0.62,-0.47
3,2.875,11,-0.65,-0.65,-0.4
3,2.25,12,-0.65,-0.65,-0.4
4,1.875,11,-0.65,-0.65,-0.4
3,2.25,12,0.57,0.77,0.29
4,1.875,11,0.57,0.77,0.29
4,1.5,12,0.57,0.77,0.29
3,2.25,12,-0.56,-0.74,-0.37
3,1.75,13,-0.56,-0.74,-0.37
4,1.5,12,-0.56,-0.74,-0.37
3,1.75,13,-0.37,0.74,-0.56
4,1.5,12,-0.37,0.74,-0.56
4,2.25,13,-0.37,0.74,-0.56
3,1.75,13,0.33,-0.67,0.67
3,2.75,14,0.33,-0.67,0.67
4,2.25,13,0.33,-0.67,0.67
3,2.75,14,0.45,0.89,-0.0
4,2.25,13,0.45,0.89,-0.0
4,2.25,14,0.45,0.89,-0.0
3,2.75,14,-0.39,-0.78,-0.49
3,2.125,15,-0.39,-0.78,-0.49
4,2.25,14,-0.39,-0.78,-0.49
3,2.125,15,0.45,0.72,0.54
4,2.25,14,0.45,0.72,0.54
4,1.5,15,0.45,0.72,0.54
3,2.125,15,-0.49,-0.78,0.39
3,2.625,16,-0.49,-0.78,0.39
4,1.5,15,-0.49,-0.78,0.39
3,2.625,16,0.57,0.77,-0.29
4,1.5,15,0.57,0.77,-0.29
4,1.875,16,0.57,0.77,-0.29
3,2.625,16,-0.47,-0.62,-0.62
3,1.625,17,-0.47,-0.62,-0.62
4,1.875,16,-0.47,-0.62,-0.62
3,1.625,17,0.0,0.97,0.24
4,1.875,16,0.0,0.97,0.24
4,1.625,17,0.0,0.97,0.24
3,1.625,17,0.0,-0.66,0.75
3,2.75,18,0.0,-0.66,0.75
4,1.625,17,0.0,-0.66,0.75
3,2.75,18,0.18,0.74,-0.65
4,1.625,17,0.18,0.74,-0.65
4,2.5,18,0.18,0.74,-0.65
3,2.75,18,-0.23,-0.91,-0.34
3,2.375,19,-0.23,-0.91,-0.34
4,2.5,18,-0.23,-0.91,-0.34
3,2.375,19,-0.34,0.91,-0.23
4,2.5,18,-0.34,0.91,-0.23
4,2.75,19,-0.34,0.91,-0.23
3,2.375,19,0.33,-0.88,0.33
3,2.75,20,0.33,-0.88,0.33
4,2.75,19,0.33,-0.88,0.33
3,2.75,20,0.41,0.82,0.41
4,2.75,19,0.41,0.82,0.41
